ncalls           , tottime, percall, cumtime , percall, filename:lineno(function)
5585             , 0.002  , 0.000  , 0.002   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/visualizer/caf.py:51(_confidences)
5585             , 0.003  , 0.000  , 0.003   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/visualizer/caf.py:65(_regressions)
5585             , 0.003  , 0.000  , 0.003   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/visualizer/occupancy.py:15(predicted)
5585             , 0.004  , 0.000  , 0.004   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/visualizer/seeds.py:17(predicted)
5585             , 3.511  , 0.001  , 4.585   , 0.001  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/cif_seeds.py:23(fill_cif)
5585             , 0.016  , 0.000  , 0.257   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/cif_seeds.py:52(get)
5585             , 0.028  , 0.000  , 4.612   , 0.001  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/cif_seeds.py:56(fill)
6369             , 0.381  , 0.000  , 2.297   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:86(mark_occupied)
5585             , 0.028  , 0.000  , 0.086   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:120(<listcomp>)
5585             , 0.469  , 0.000  , 38.538  , 0.007  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:66(__call__)
101284           , 1.481  , 0.000  , 2.264   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:123(connection_value)
80840            , 0.948  , 0.000  , 1.425   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:184(add_to_frontier)
89995            , 0.519  , 0.000  , 2.974   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:198(frontier_get)
6369             , 0.931  , 0.000  , 5.817   , 0.001  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:180(_grow)
11596            , 0.017  , 0.000  , 0.077   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:29(<genexpr>)
5585             , 0.017  , 0.000  , 0.230   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:22(<listcomp>)
5585             , 0.013  , 0.000  , 43.090  , 0.008  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:17(<listcomp>)
5585             , 0.007  , 0.000  , 43.097  , 0.008  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:15(starmap)
22340            , 0.027  , 0.000  , 2.529   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:53(<listcomp>)
61435/22340      , 0.058  , 0.000  , 2.563   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:48(apply)
11170            , 0.021  , 0.000  , 2.424   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:65(<lambda>)
5585             , 0.193  , 0.000  , 287.344 , 0.051  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:43(fields_batch)
5585             , 0.106  , 0.000  , 330.609 , 0.059  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:84(batch)
5585             , 0.309  , 0.000  , 43.030  , 0.008  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:103(_mappable_annotations)
6222             , 0.008  , 0.000  , 0.152   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:33(<lambda>)
11596            , 0.010  , 0.000  , 0.059   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:30(<genexpr>)
5374             , 0.012  , 0.000  , 0.183   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:53(<listcomp>)
6066             , 0.007  , 0.000  , 0.129   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:54(<lambda>)
5585             , 0.743  , 0.000  , 3.858   , 0.001  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:17(annotations)
10959            , 0.067  , 0.000  , 0.265   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/occupancy.py:11(__init__)
6222             , 0.003  , 0.000  , 0.004   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/occupancy.py:28(__len__)
158527           , 1.647  , 0.000  , 3.799   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/occupancy.py:31(set)
868025           , 0.665  , 0.000  , 1.360   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/occupancy.py:41(get)
158527           , 1.098  , 0.000  , 1.281   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/decoder/utils.py:61(scalar_square_add_single)
38               , 0.000  , 0.000  , 0.002   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/core/imgwriter.py:25(getFileName)
5300             , 0.009  , 0.000  , 0.009   , 0.000  , {built-in method scipy.spatial._distance_wrap.cdist_euclidean_double_wrap}
